region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
Sub-Saharan Africa,SSA,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,2.15,0.21408847765384711,0.09140949015666976,0.05333235900424337,0.15103158988042867,7.37436542684111,4.664529111022041,0.5125764608983274,0.5195689249112876,0.46434005463071076,0.009832460144849037,0.02195307224989724,0.03342455472604417,0.044953073234978685,0.0566277415110651,0.07048757987921925,0.08808485033368785,0.113494559669167,0.15868695244104292,0.40245515581011515,0.0141996908339976,107.269989013672,16394062,1840.35382835349,NA,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,2.15,0.14632487286880944,0.040595237875560033,0.01655632062047158,0.05362785989328369,6.513751809548534,4.6942547360800795,0.3116315023215316,0.427155149878257,0.3913652496976387,0.02071966295533835,0.03356688599601205,0.04315606415145214,0.05304570384412695,0.06542601964070074,0.07920356499582895,0.09651447112803008,0.12291698131979417,0.16233330698834159,0.3231173389803934,0.3034491231407121,107.269989013672,21691522,3061.63627198895,1216.31241051912,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,2.15,0.3112200623143419,0.1193258142206659,0.06255790657753374,0.1806645689688421,5.4821507261984115,3.4205505392402626,0.4778896475752105,0.5127211119824917,0.47098191818240387,0.013295415783554622,0.024280907025311695,0.03332860785316842,0.04342929463527932,0.05584268734223642,0.06981362525926094,0.088687618989236,0.11568737597775736,0.15939020745691707,0.39624425967731414,1.231023884150867,107.269989013672,31273533,2677.24983283563,1548.15353460027,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,2.15,0.005348460357082809,9.82145368407634e-4,3.0475907810836227e-4,0.0012031239163840055,7.933157550405861,6.9721026291326424,0.11910432658438651,0.27010341975088836,0.24129327237527806,0.038632860014162676,0.05289346878729537,0.06378683400734679,0.07322041534489757,0.08379661928695942,0.09354902524538367,0.10823086967865014,0.12473869500996038,0.14899548136724705,0.21215573125809528,0.3996352309444787,50.3573722839355,3168033,1633.55200434173,1716.33680565271,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,2.15,0.010926473904389144,0.0018943486490622977,5.942298553334304e-4,0.002382839266803199,8.108228791611916,6.688141410711776,0.16481159963894193,0.31738979833522096,0.2689816389190831,0.03494001774100648,0.04859444247376664,0.05842059039762326,0.06738203996385997,0.07653102410062854,0.08839459486678802,0.10228585059344691,0.11984428733455205,0.1492507830321348,0.25435636949619134,0.7016370015109691,50.3573722839355,3051010,2247.49808605638,1685.20308269126,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,2.15,0.005910856841321203,8.972334905938649e-4,2.285119138798627e-4,0.0010423957167510136,9.165974569465693,7.799791172147629,0.1544127564826973,0.30595655728119175,0.25452865681651077,0.034825359604452974,0.049201089607982584,0.059772825692989154,0.06921182508870932,0.07988158381405813,0.09037068530154385,0.10372144005366579,0.12126407642186787,0.1483394334491046,0.24341168096562393,0.7539578314479318,50.3573722839355,3011487,2675.50864417697,2079.20348012751,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,2.15,0.0019992514622249116,3.964109886054383e-4,8.69031349704736e-5,4.4897267702400604e-4,10.038169339119023,8.400199673590198,0.1488933809532349,0.2998467042234797,0.24731111260758226,0.03733625353567664,0.05136781185090723,0.0608847215962694,0.06983584250007654,0.07912078536889336,0.0892413264193258,0.10298734999402159,0.11929075522670274,0.14535204452323636,0.2445831089848901,0.8201140384863148,50.3573722839355,2947314,3298.4789171641,2820.27952089393,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,2.15,0.006206908871704899,0.0013089253858911342,4.5241814049116894e-4,0.0016377253760803104,9.5172314611506,8.24038496488986,0.13841706804209777,0.2896048455859209,0.24998792079913268,0.03659527006643431,0.05193094996707478,0.06143643830127836,0.07030725742684074,0.08083832551550485,0.09256942606872293,0.10515455176539568,0.12293301146440594,0.14889137301179367,0.2293433964125473,0.9171827503511194,50.3573722839355,2900401,3736.34008946398,2990.3966059293,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,2.15,0.010231007740106511,0.0013870792658179213,2.6728230227667307e-4,0.0015452646848970073,10.141309877655766,8.295375495927239,0.19866156631340665,0.3459889646678993,0.32430970150433347,0.0285300386868642,0.04173767185632536,0.052229128700452015,0.06311598660849427,0.07512373244545661,0.08932859602769838,0.10593702731255067,0.1272453811995698,0.16130921314992686,0.25544322401265473,0.950155390384316,50.3573722839355,2889104,3855.76075430011,3143.2541336383,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,2.15,0.0012062105945625289,5.614687619097938e-5,4.126675601317828e-6,5.834090084484855e-5,12.055372745893216,9.88738289397923,0.17549547002413635,0.3275373177638621,0.300363766021334,0.031544789354655454,0.04546798090677905,0.05566421817085308,0.06579464738739041,0.07620023178175342,0.08886236494917904,0.10474083316338151,0.12523294419823977,0.1586989109622745,0.2477930791255002,0.9834223070291728,50.3573722839355,2880703,3952.80358410846,3189.70533428969,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,2.15,0.0013930316622910246,1.0544817369853656e-4,1.3631301884193887e-5,1.1301377134649306e-4,12.541093110460471,10.282371917075258,0.18758058229187147,0.3373629871613545,0.31438035384589763,0.02969405733287735,0.043505156286569535,0.05422417749744461,0.06423766838270631,0.07524432305082776,0.08896662927744947,0.10520496389121159,0.12703985647336774,0.1613876219881255,0.2504955458194197,0.9798100251514332,50.3573722839355,2876101,4090.37273911621,3262.75696748682,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,2.15,0.057951017797722465,0.022118173581085417,0.011319393404365954,0.032486275699154236,9.951971201550673,8.140220463925681,0.27373984373183413,0.38565642705602077,0.35036008203471575,0.0183817645662555,0.034833605882421084,0.04792178778850131,0.060813953759568856,0.07358065191109345,0.08862650509898157,0.10573946154486741,0.12912911497275364,0.16630366764799764,0.2746694868275884,0.9798100251514332,50.3573722839355,2876101,4090.37273911621,3262.75696748682,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,2.15,0.003925699344145354,3.8803442236375594e-4,5.487423127130845e-5,4.1881808359823803e-4,12.411218948203341,10.187668779844469,0.17990846504838462,0.330556627406811,0.3085222648395372,0.030905286118914656,0.04459942681944837,0.05477605165291666,0.06508122961160906,0.07604976016054898,0.08908397145761221,0.10539262080335043,0.1271788691017388,0.16080848294499805,0.24612430132885588,1,50.3573722839355,2873457,4249.82006064482,3345.55625425919,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,2.15,0.05264806021359659,0.017958083234581187,0.00875427758013331,0.025682410387326545,10.411014391968374,8.704905448837362,0.2541749295129592,0.3709512668663948,0.3325366238409942,0.018976139099865952,0.036430115137448774,0.05010894730399053,0.0632918388766383,0.07649153452521992,0.09073750583123019,0.10648661184340935,0.12902116335921793,0.16392251137276626,0.26453363265023655,1,50.3573722839355,2873457,4249.82006064482,3345.55625425919,FALSE,micro,survey
