Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
Queso cotija,Dairy,366,20,3.97,0,0,30,17.5,8.333,1.187,100,223,229,0,73,0,0,0,0.029,0.486,0.114,0.049,0,10,10,10,15.4,2.26,0,0,0.5,0.25,0,1.9,800,729,38,0,3.87,0.238,17.7,125,1400,0,0,0,1.583,0.592,0.055,0.544,0.825,2.745,7.747,3.409,0.521,7.627,0.185,0,0.989,0.199,0,0,0,0,0,38
"Butter, stick",Dairy,743,0.85,0.06,0.58,0,82.2,45.6,16.9,2.52,235,744,758,2,168,8,0,0,0.005,0,0,0,0,5,5,5,18.8,0,0,0,0.4,0,0,7,21,22,2,0.06,0.07,0.006,0,23,524,0,0,0,2.04,1.44,0.84,1.92,2.2,7.15,21.2,7.42,0.999,15,0.117,0.004,2.25,0.331,0.015,0.104,0.024,0.039,0.002,15.8
"Ghee, clarified butter",Dairy,876,0.28,0,0,0,99.48,61.924,28.732,3.694,256,824,840,0,193,0,0,0,0.001,0.005,0.003,0.001,0,0,0,0,22.3,0.01,0,0,0,2.8,0,8.6,4,3,0,0,0.01,0.001,0,5,2,0,0,0,3.226,1.91,1.112,2.495,2.793,10.005,26.166,12.056,2.228,25.026,0,0,2.247,1.447,0,0,0,0,0,0.24
"Clementine, raw",Fruits,53,0.81,13.34,10.58,1.8,0.31,0.039,0.06,0.065,0,0,34,101,155,407,0,138,0.058,0.036,0.376,0.078,0,16,16,16,10.2,0,0,26.7,0,0.2,0,0,37,20,12,0.15,0.07,0.042,0.1,166,2,0,0,0,0,0,0,0,0,0.002,0.035,0.002,0.007,0.053,0,0,0.048,0.018,0,0,0,0,0,85.17
"Grapefruit, raw",Fruits,42,0.77,10.66,6.89,1.6,0.14,0.021,0.02,0.036,0,0,58,3,686,6,1419,5,0.043,0.031,0.204,0.053,0,13,13,13,7.7,0,0,31.2,0,0.13,0,0,22,18,9,0.08,0.07,0.032,0.1,135,0,0,0,0,0,0,0,0,0,0,0.018,0.002,0.002,0.018,0,0,0.029,0.008,0,0,0,0,0,88.06
"Kumquat, raw",Fruits,71,1.88,15.9,9.36,6.5,0.86,0.103,0.154,0.171,0,0,15,155,0,193,0,129,0.037,0.09,0.429,0.036,0,17,17,17,8.4,0,0,43.9,0,0.15,0,0,62,19,20,0.86,0.17,0.095,0,186,10,0,0,0,0,0,0,0,0,0.004,0.09,0.004,0.021,0.137,0,0,0.124,0.047,0,0,0,0,0,80.85
"Lemon, raw",Fruits,29,1.1,9.32,2.5,2.8,0.3,0.039,0.011,0.089,0,0,1,1,3,20,0,11,0.04,0.02,0.1,0.08,0,11,11,11,5.1,0,0,53,0,0.15,0,0,26,16,8,0.6,0.06,0.037,0.4,138,2,0,0,0,0,0,0,0,0,0.001,0.035,0.002,0.001,0.01,0,0,0.063,0.026,0,0,0,0,0,88.98
"Lime, raw",Fruits,30,0.7,10.54,1.69,2.8,0.2,0.022,0.019,0.055,0,0,2,0,30,0,0,0,0.03,0.02,0.2,0.043,0,8,8,8,5.1,0,0,29.1,0,0.22,0,0.6,33,18,6,0.6,0.11,0.065,0.4,102,2,0,0,0,0,0,0,0,0,0.001,0.02,0.001,0.003,0.016,0,0,0.036,0.019,0,0,0,0,0,88.26
"Orange, raw",Fruits,50,0.92,11.78,8.96,2.2,0.14,0.015,0.023,0.025,0,0,11,11,71,116,0,129,0.078,0.046,0.354,0.07,0,28,28,28,8.4,0,0,56.2,0,0.18,0,0,42,18,10,0.22,0.09,0.054,0.2,174,4,0,0,0,0,0,0,0,0,0,0.013,0,0.003,0.02,0,0,0.018,0.007,0,0,0,0,0,86.72
"Tangerine, raw",Fruits,53,0.81,13.34,10.58,1.8,0.31,0.039,0.06,0.065,0,0,34,101,155,407,0,138,0.058,0.036,0.376,0.078,0,16,16,16,10.2,0,0,26.7,0,0.2,0,0,37,20,12,0.15,0.07,0.042,0.1,166,2,0,0,0,0,0,0,0,0,0.002,0.035,0.002,0.007,0.053,0,0,0.048,0.018,0,0,0,0,0,85.17
"Apple, raw",Fruits,61,0.17,14.8,12.08,2.1,0.15,0.028,0.007,0.051,0,0,3,0,27,11,0,29,0.01,0.07,0.091,0.03,0,0,0,0,3.4,0,0,4.6,0,0.18,0,2.2,5,9,5,0.03,0.02,0.03,0,104,0,0,0,0,0,0,0,0,0,0.001,0.024,0.003,0,0.007,0,0,0.043,0.009,0,0,0,0,0,84.62
"Apricot, raw",Fruits,48,1.4,11.12,9.24,2,0.39,0.027,0.17,0.077,0,0,96,19,1094,104,0,89,0.03,0.04,0.6,0.054,0,9,9,9,2.8,0,0,10,0,0.89,0,3.3,13,23,10,0.39,0.2,0.078,0.1,259,1,0,0,0,0,0,0,0,0,0,0.024,0.003,0,0.17,0,0,0.077,0,0,0,0,0,0,86.35
"Avocado, raw",Fruits,160,2,8.53,0.66,6.7,14.66,2.126,9.799,1.816,0,0,7,24,62,28,0,271,0.067,0.13,1.738,0.257,0,81,81,81,14.2,0,0,10,0,2.07,0,21,12,52,29,0.55,0.64,0.19,0.4,485,7,0,0,0,0,0,0.001,0,0,0,2.075,0.049,0.698,9.066,0.025,0,1.674,0.125,0,0,0,0,0,73.23
"Banana, raw",Fruits,97,0.74,22.71,15.8,1.7,0.28,0.112,0.032,0.073,0,0,1,7,8,0,0,22,0.054,0,0.653,0.212,0,15,15,15,9.8,0,0,12,0,0.1,0,0.1,5,22,28,0,0.16,0.101,0,326,0,0,0,0,0,0,0,0.001,0.002,0.002,0.102,0.005,0.01,0.022,0,0,0.046,0.027,0,0,0,0,0,75.6
"Cantaloupe, raw",Fruits,38,0.82,8.16,7.88,0.8,0.18,0.051,0.003,0.081,0,0,232,0,2780,0,0,32,0.049,0.027,0.694,0.04,0,14,14,14,7.6,0,0,10.9,0,0.05,0,2.7,9,17,13,0.38,0.44,0.085,1.7,157,30,0,0,0,0,0,0,0,0.001,0.001,0.043,0.005,0,0.003,0,0,0.035,0.046,0,0,0,0,0,90.2
"Starfruit, raw",Fruits,31,1.04,6.73,3.98,2.8,0.33,0.019,0.03,0.184,0,0,3,24,25,0,0,66,0.014,0.016,0.367,0.017,0,12,12,12,7.6,0,0,34.4,0,0.15,0,0,3,12,10,0.08,0.12,0.137,0.6,133,2,0,0,0,0,0,0,0,0,0,0.011,0.008,0,0.03,0,0,0.157,0.027,0,0,0,0,0,91.38
"Cherries, raw",Fruits,63,1.06,16.01,12.82,2.1,0.2,0.038,0.047,0.052,0,0,3,0,38,0,0,85,0.027,0.033,0.154,0.049,0,4,4,4,6.1,0,0,7,0,0.07,0,2.1,13,21,11,0.36,0.07,0.06,0,222,0,0,0,0,0,0,0,0,0,0.001,0.027,0.009,0.001,0.047,0,0,0.027,0.026,0,0,0,0,0,82.25
Dragon fruit,Fruits,57,0.36,15.23,9.75,3.1,0.14,0.022,0.084,0.094,0,0,1,1,14,2,0,44,0.012,0.026,0.161,0.029,0,7,7,7,5.1,0,0,4.3,0,0.12,0,4.4,9,12,7,0.18,0.1,0.082,0.1,116,1,0,0,0,0,0,0,0,0,0,0.017,0.003,0.002,0.081,0.001,0,0.093,0.001,0,0,0,0,0,83.96
"Fig, raw",Fruits,74,0.75,19.18,16.26,2.9,0.3,0.06,0.066,0.144,0,0,7,0,85,0,0,9,0.06,0.05,0.4,0.113,0,6,6,6,4.7,0,0,2,0,0.11,0,4.7,35,14,17,0.37,0.15,0.07,0.2,232,1,0,0,0,0,0,0,0,0,0.002,0.046,0.012,0,0.066,0,0,0.144,0,0,0,0,0,0,79.11
"Grapes, raw",Fruits,69,0.72,18.1,15.48,0.9,0.16,0.054,0.007,0.048,0,0,3,1,39,0,0,72,0.069,0.07,0.188,0.086,0,2,2,2,5.6,0,0,3.2,0,0.19,0,14.6,10,20,7,0.36,0.07,0.127,0.1,191,2,0,0,0,0,0,0,0,0,0.001,0.046,0.006,0,0.007,0,0,0.037,0.011,0,0,0,0,0,80.54
"Guava, raw",Fruits,68,2.55,14.32,8.92,5.4,0.95,0.272,0.087,0.401,0,0,31,0,374,0,5204,0,0.067,0.04,1.084,0.11,0,49,49,49,7.6,0,0,228.3,0,0.73,0,2.6,18,40,22,0.26,0.23,0.23,0.6,417,2,0,0,0,0,0,0,0,0,0.019,0.228,0.025,0.005,0.082,0,0,0.288,0.112,0,0,0,0,0,80.8
"Kiwi fruit, raw",Fruits,64,1.06,14,8.99,3,0.44,0.029,0.047,0.287,0,0,4,0,52,0,0,122,0.027,0.025,0.37,0.061,0,26,26,26,7.8,0,0,74.7,0,1.3,0,40.3,35,34,16,0.24,0.14,0.134,0.2,198,5,0,0,0,0,0,0,0,0,0,0.017,0.012,0,0.047,0,0,0.246,0.042,0,0,0,0,0,83.9
Lychee,Fruits,66,0.83,16.53,15.23,1.3,0.44,0.099,0.12,0.132,0,0,0,0,0,0,0,0,0.011,0.065,0.603,0.1,0,14,14,14,7.1,0,0,71.5,0,0.07,0,0.4,5,31,10,0.31,0.07,0.148,0.6,171,1,0,0,0,0,0,0,0,0,0.002,0.07,0.024,0.001,0.119,0,0,0.067,0.065,0,0,0,0,0,81.76
"Honeydew melon, raw",Fruits,36,0.54,9.09,8.12,0.8,0.14,0.038,0.003,0.059,0,0,3,0,30,0,0,27,0.038,0.012,0.418,0.088,0,19,19,19,7.6,0,0,18,0,0.02,0,2.9,6,11,10,0.17,0.09,0.024,0.7,228,18,0,0,0,0,0,0,0,0.002,0.002,0.032,0.003,0,0.003,0,0,0.026,0.033,0,0,0,0,0,89.82
"Mango, raw",Fruits,60,0.82,14.98,13.66,1.6,0.38,0.092,0.14,0.071,0,0,54,9,640,10,3,23,0.028,0.038,0.669,0.119,0,43,43,43,7.6,0,0,36.4,0,0.9,0,4.2,11,14,10,0.16,0.09,0.111,0.6,168,1,0,0,0,0,0,0,0,0.001,0.013,0.072,0.004,0.067,0.075,0,0,0.019,0.051,0,0,0,0,0,83.46
"Nectarine, raw",Fruits,43,1.06,9.18,7.89,1.5,0.28,0,0,0,0,0,21,0,199,117,0,130,0.034,0.027,1.12,0.025,0,6,6,6,6.2,0,0,2.9,0,0.61,0,2,2,26,9,0.3,0.21,0.082,0,131,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"Papaya, raw",Fruits,43,0.47,10.82,7.82,1.7,0.26,0.081,0.072,0.058,0,0,47,2,274,589,1828,89,0.023,0.027,0.357,0.038,0,37,37,37,6.1,0,0,60.9,0,0.3,0,2.6,20,10,21,0.25,0.08,0.045,0.6,182,8,0,0,0,0,0,0,0,0.002,0.013,0.06,0.004,0.038,0.034,0,0,0.011,0.047,0,0,0,0,0,88.06
"Passion fruit, raw",Fruits,97,2.2,23.38,11.2,10.4,0.7,0.059,0.086,0.411,0,0,64,0,743,41,0,0,0,0.13,1.5,0.1,0,14,14,14,7.6,0,0,30,0,0.02,0,0.7,12,68,29,1.6,0.1,0.086,0.6,348,28,0,0,0,0,0,0,0,0,0,0.045,0.014,0,0.086,0,0,0.41,0.001,0,0,0,0,0,72.93
"Peach, raw",Fruits,46,0.91,10.1,8.39,1.5,0.27,0.019,0.067,0.086,0,0,24,0,224,117,0,132,0.024,0.031,0.806,0.025,0,6,6,6,6.1,0,0,4.1,0,0.73,0,3,4,22,8,0.34,0.23,0.078,2.1,122,13,0,0,0,0,0,0,0,0,0,0.017,0.002,0.002,0.065,0,0,0.084,0.002,0,0,0,0,0,88.3
"Pear, raw",Fruits,59,0.37,15.18,9.73,3.1,0.15,0.022,0.084,0.094,0,0,1,1,12,2,0,46,0.012,0.026,0.162,0.028,0,7,7,7,5.1,0,0,4.3,0,0.12,0,4.2,9,11,7,0.18,0.09,0.077,0.1,104,3,0,0,0,0,0,0,0,0,0,0.017,0.003,0.002,0.081,0.001,0,0.093,0.001,0,0,0,0,0,84.02
"Pear, Asian, raw",Fruits,42,0.5,10.65,7.05,3.6,0.23,0.012,0.049,0.055,0,0,0,0,0,0,0,50,0.009,0.01,0.219,0.022,0,8,8,8,5.1,0,0,3.8,0,0.12,0,4.5,4,11,8,0,0.02,0.05,0.1,121,0,0,0,0,0,0,0,0,0,0,0.01,0.002,0.001,0.047,0.001,0,0.054,0.001,0,0,0,0,0,88.25
"Persimmon, raw",Fruits,70,0.58,18.59,12.53,3.6,0.19,0.02,0.037,0.043,0,0,81,0,253,1447,159,834,0.03,0.02,0.1,0.1,0,8,8,8,7.6,0,0,7.5,0,0.73,0,2.6,8,17,9,0.15,0.11,0.113,0.6,161,1,0,0,0,0,0,0,0,0,0.001,0.016,0.003,0,0.037,0,0,0.039,0.004,0,0,0,0,0,80.32
"Pineapple, raw",Fruits,50,0.54,13.12,9.85,1.4,0.12,0.009,0.013,0.04,0,0,3,0,35,0,0,0,0.079,0.032,0.5,0.112,0,18,18,18,5.5,0,0,47.8,0,0.02,0,0.7,13,8,12,0.29,0.12,0.11,0.1,109,1,0,0,0,0,0,0,0,0,0,0.005,0.003,0.001,0.012,0,0,0.023,0.017,0,0,0,0,0,86
"Plum, raw",Fruits,46,0.7,11.42,9.92,1.4,0.28,0.017,0.134,0.044,0,0,17,0,190,35,0,73,0.028,0.026,0.417,0.029,0,5,5,5,1.9,0,0,9.5,0,0.26,0,6.4,6,16,7,0.17,0.1,0.057,0,157,0,0,0,0,0,0,0,0,0,0,0.014,0.003,0.002,0.132,0,0,0.044,0,0,0,0,0,0,87.23
"Pomegranate, raw",Fruits,83,1.67,18.7,13.67,4,1.17,0.12,0.093,0.079,0,0,0,0,0,0,0,0,0.067,0.053,0.293,0.075,0,38,38,38,7.6,0,0,10.2,0,0.6,0,16.4,10,36,12,0.3,0.35,0.158,0.5,236,3,0,0,0,0,0,0,0,0.006,0.006,0.07,0.038,0.012,0.077,0.004,0,0.079,0,0,0,0,0,0,77.93
Rhubarb,Fruits,73,0.81,17.45,14.4,1.6,0.22,0.047,0.035,0.089,0,0,4,0,46,0,0,129,0.014,0.028,0.242,0.02,0,4,4,4,5.5,0,0,5.7,0,0.24,0,26.3,73,13,11,0.2,0.09,0.018,1.1,233,4,0,0,0,0,0,0,0,0,0.001,0.041,0.004,0.001,0.033,0,0,0.089,0,0,0,0,0,0,80.83
Tamarind,Fruits,239,2.8,62.5,38.8,5.1,0.6,0.272,0.181,0.059,0,0,2,0,18,0,0,0,0.428,0.152,1.938,0.066,0,14,14,14,8.6,0,0,3.5,0,0.1,0,2.8,74,113,92,2.8,0.1,0.086,1.3,628,28,0,0,0,0,0,0,0,0,0.007,0.168,0.06,0,0.181,0,0,0.059,0,0,0,0,0,0,31.4
"Watermelon, raw",Fruits,30,0.61,7.55,6.2,0.4,0.15,0.016,0.037,0.05,0,0,28,0,303,78,4532,8,0.033,0.021,0.178,0.045,0,3,3,3,4.1,0,0,8.1,0,0.05,0,0.1,7,11,10,0.24,0.1,0.042,0.4,112,1,0,0,0,0,0,0,0.001,0.001,0,0.008,0.006,0,0.037,0,0,0.05,0,0,0,0,0,0,91.45
"Blackberries, raw",Fruits,43,1.39,9.61,4.88,5.3,0.49,0.014,0.047,0.28,0,0,11,0,128,0,0,118,0.02,0.026,0.646,0.03,0,25,25,25,8.5,0,0,21,0,1.17,0,19.8,29,22,20,0.62,0.53,0.165,0.4,162,1,0,0,0,0,0,0,0,0,0,0.012,0.003,0,0.044,0.004,0,0.186,0.094,0,0,0,0,0,88.15
"Blueberries, raw",Fruits,57,0.74,14.49,9.96,2.4,0.33,0.028,0.047,0.146,0,0,3,0,32,0,0,80,0.037,0.041,0.418,0.052,0,6,6,6,6,0,0,9.7,0,0.57,0,19.3,6,12,6,0.28,0.16,0.057,0.1,77,1,0,0,0,0,0,0,0,0,0,0.017,0.005,0.002,0.047,0,0,0.088,0.058,0,0,0,0,0,84.21
"Cranberries, raw",Fruits,46,0.46,11.97,4.27,3.6,0.13,0.008,0.018,0.055,0,0,3,0,38,0,0,91,0.012,0.02,0.101,0.057,0,1,1,1,5.5,0,0,14,0,1.32,0,5,8,11,6,0.23,0.09,0.056,0.1,80,2,0,0,0,0,0,0,0,0,0,0.006,0.002,0.001,0.018,0,0,0.033,0.022,0,0,0,0,0,87.32
"Raspberries, raw",Fruits,52,1.2,11.94,4.42,6.5,0.65,0.019,0.064,0.375,0,0,2,16,12,0,0,136,0.032,0.038,0.598,0.055,0,21,21,21,12.3,0,0,26.2,0,0.87,0,7.8,25,29,22,0.69,0.42,0.09,0.2,151,1,0,0,0,0,0,0,0,0,0,0.016,0.004,0,0.059,0.005,0,0.249,0.126,0,0,0,0,0,85.75
"Strawberries, raw",Fruits,35,0.64,7.63,5.34,1.8,0.22,0,0,0,0,0,1,0,7,0,0,22,0.025,0.016,0.386,0.035,0,8,8,8,5.7,0,0,56,0,0.29,0,2.1,12,20,12,0.28,0.18,0.119,0.4,89,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1
"White beans, from dried, no added fat",Legumes,138,9.67,24.94,0.34,6.3,0.35,0.09,0.031,0.151,0,0,0,0,0,0,0,0,0.111,0.043,0.132,0.088,0,76,76,76,34.9,0,0,0,0,0.93,0,3.5,90,112,63,3.68,1.37,0.285,1.3,558,237,0,0,0,0,0,0,0,0,0,0.084,0.005,0,0.031,0,0,0.083,0.069,0,0,0,0,0,62.71
"Black beans, from dried, no added fat",Legumes,131,8.81,23.57,0.32,8.6,0.54,0.138,0.047,0.23,0,0,0,0,0,0,0,0,0.23,0.056,0.477,0.065,0,141,141,141,32.4,0,0,0,0,0.86,0,3.3,27,139,70,2.09,1.11,0.208,1.2,353,232,0,0,0,0,0,0,0,0,0,0.129,0.008,0,0.047,0,0,0.125,0.104,0,0,0,0,0,65.35
"Fava beans, cooked",Legumes,161,7.06,18.26,1.69,5,6.88,0.95,2.696,2.771,0,0,1,0,8,0,0,0,0.086,0.079,0.628,0.064,0,92,92,92,28.5,0,0,0.3,0,1.07,0,9.8,34,116,40,1.4,0.94,0.241,2.4,249,220,0,0,0,0,0,0,0,0.001,0.004,0.693,0.197,0.024,2.623,0.045,0,2.452,0.316,0,0,0,0,0,66.49
"Lima beans, from dried",Legumes,165,7.25,19.4,2.7,6.5,6.86,0.972,2.654,2.778,0,0,0,0,0,0,0,0,0.142,0.049,0.372,0.142,0,73,73,73,30.2,0,0,0,0,1.22,0,9,16,103,40,2.23,0.88,0.218,4.2,472,218,0,0,0,0,0,0,0,0,0.004,0.704,0.206,0.024,2.578,0.045,0.002,2.42,0.354,0,0,0,0,0,64.86
"Pink beans, cooked",Legumes,197,8.42,25.94,0.34,4.9,6.96,1.006,2.662,2.814,0,0,0,0,0,0,0,0,0.227,0.056,0.503,0.155,0,148,148,148,34.3,0,0,0,0,1.96,0,10.6,49,153,60,2.15,0.89,0.252,1.3,472,218,0,0,0,0,0,0,0,0,0.003,0.753,0.197,0.023,2.59,0.045,0,2.416,0.394,0,0,0,0,0,56.88
"Pinto beans, from dried, no added fat",Legumes,142,8.96,26.06,0.34,8.9,0.65,0.135,0.132,0.234,0,0,0,0,0,0,0,0,0.182,0.059,0.3,0.216,0,162,162,162,35.1,0,0,0.8,0,0.93,0,3.5,46,146,50,2.08,0.97,0.218,6.2,433,232,0,0,0,0,0,0,0,0,0,0.132,0.003,0,0.132,0,0,0.097,0.136,0,0,0,0,0,62.58
"Kidney beans, from dried, no added fat",Legumes,126,8.62,22.66,0.32,7.4,0.5,0.072,0.039,0.273,0,0,0,0,0,0,0,0,0.151,0.055,0.546,0.113,0,123,123,123,30.3,0,0,1.1,0,0.03,0,8.4,28,141,45,2.92,1.06,0.241,1.2,401,233,0,0,0,0,0,0,0,0,0,0.064,0.008,0,0.039,0,0,0.106,0.167,0,0,0,0,0,66.54
